PDB,IRMSD,PID,label,HADDOCK,PIsToN,dMaSIF,DeepRank-GNN,GNN-DOVE,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE
1AK4_18,15.27,1AK4,0,215.4708952,0.014764547,-0.353577197,0.253257632,0.2761,1389.36,536.783,7.38,1.775,-0.0497,-64.83,0.770641
1AK4_19,10.21,1AK4,1,75.26007,-0.144807339,0.37406382,0.056416497,0.2274,1184.14,435.868,-1.104,6.356,0.324,-82.5,0.876278
1AK4_20,18.74,1AK4,0,-41.7303,0.271058321,-0.289861351,0.004545891,0.2603,295.561,166.372,-17.257,1.929,-0.1042,-36.99,0.760109
1AK4_21,18.67,1AK4,0,-0.0799,0.553591251,-0.073764719,0.017456211,0.2594,555.796,220.078,-12.834,3.303,-0.1628,-43.46,0.702857
1AK4_22,11.37,1AK4,0,-30.28562,0.016856432,-1.278787494,0.020440996,0.2274,466.145,231.29,-9.829,3.643,0.0692,-70.14,0.842514
1AK4_23,14.96,1AK4,0,142.08011,1.252281547,-0.505880177,0.464083195,0.2994,1479.17,564.512,2.696,2.625,0.0814,-77.01,0.854649
1AK4_24,14.66,1AK4,0,3544010.837,-0.000753403,-0.189357713,0.410699576,0.2092,1174.65,449.43,-0.756,1.041,-0.0958,-93.89,0.958706
1AK4_25,10.12,1AK4,1,57.17799999999999,-0.33341217,0.348019093,0.124713458,0.2274,831.26,349.448,-0.977,7.077,0.0994,-67.2,0.863961
1AK4_26,15.77,1AK4,0,90.67016,1.165609241,-0.289861351,0.102092841,0.2274,615.975,356.505,22.415,2.615,-0.2166,-28.64,0.881972
1AK4_27,6.15,1AK4,1,104.98046,0.175712347,0.853818238,0.223474994,0.2274,1200.84,417.769,0.293,-0.235,-0.0475,-69.81,0.438368
1AK4_28,15.1,1AK4,0,55.7871,1.675890803,-0.150416449,0.369052976,0.2579,1006.46,407.326,0.333,2.361,-0.1154,-57.74,0.97081
1AK4_29,15.39,1AK4,0,53.86684,1.406352401,-0.391658098,0.285172105,0.2681,461.478,286.931,12.984,1.088,-0.3706,-53.07,0.943356
1AK4_30,6.11,1AK4,1,143.89349,1.753381491,0.792334676,0.081978098,0.2274,971.607,372.669,-4.297,-0.177,-0.2367,-70.68,0.53461
1AK4_31,15.67,1AK4,0,105.39427,1.384455681,-0.472597539,0.204540193,0.2274,516.123,284.477,12.284,1.745,-0.1409,-34.64,0.935452
1AK4_32,15.63,1AK4,0,163.98759699999997,1.435528517,-0.244951487,0.19820644,0.2366,1049.53,448.38,16.153,1.245,-0.03,-37.95,0.886341
1AK4_33,8.69,1AK4,1,-18.7494,0.725533247,0.763857186,0.032653119,0.2274,625.69,228.963,-6.488,5.059,0.1259,-54.32,0.776873
1AK4_34,10.02,1AK4,1,89.26065999999999,0.082197428,0.100841776,0.135678947,0.2274,599.475,318.977,7.329,7.985,0.1729,-73.4,1.08632
1AK4_35,15.65,1AK4,0,122.5515,0.480208516,-0.379944801,0.230310172,0.2503,745.984,313.423,13.314,1.841,-0.3252,-46.79,0.816371
1AK4_36,10.16,1AK4,1,74.1424,-0.028906226,-0.322865218,0.013137896,0.2297,901.925,369.588,-4.204,5.04,-0.0505,-68.42,1.131545
1AK4_37,10.08,1AK4,1,100.3392,-0.941067576,0.385201573,0.189172387,0.2274,1480.74,452.072,1.883,6.899,0.1576,-99.67,0.700468
1AK4_38,14.89,1AK4,0,171.33393999999998,-0.431119323,-0.552424431,0.110725713,0.2129,1166.18,389.895,2.64,-2.169,-0.3237,-73.84,0.737096
1AK4_39,6.42,1AK4,1,42.68088,0.122166276,0.750149965,0.104823545,0.2274,394.323,183.408,-2.317,2.519,-0.0533,-59.79,0.596183
1AK4_40,11.07,1AK4,0,-49.29165,0.10142839,-1.080377698,0.061736327,0.2274,1049.9,297.461,-15.637,4.898,0.1353,-78.94,0.875187
1AK4_41,8.67,1AK4,1,6.801500000000001,0.259258747,0.185768798,0.009456122,0.2274,605.228,199.602,-11.871,3.387,-0.1836,-46.59,0.792682
1AK4_42,11.35,1AK4,0,2.2209799999999973,-0.567039967,-0.672558427,0.01399534,0.2274,999.904,278.365,-17.196,4.705,0.128,-53.7,0.886699
1AK4_43,6.14,1AK4,1,189.78856,0.002159238,0.818855703,0.265711129,0.2274,1250.76,433.021,-4.139,-0.049,0.0992,-75.84,0.450677
1AK4_44,6.3,1AK4,1,63.79849,0.625596702,0.756964862,0.124128848,0.2274,478.246,222.392,-3.131,2.392,0.0243,-55.75,0.546821
1AK4_45,9.99,1AK4,1,43.37564,0.679414034,0.065811686,0.008526601,0.2467,772.608,254.116,-4.168,4.179,0.1865,-53.03,0.687246
1AK4_46,13.6,1AK4,0,32.23528,1.34510529,-0.29672417,0.061229203,0.653,628.838,272.176,1.634,-0.924,0.1341,-34.93,0.946823
1AK4_47,11.16,1AK4,0,-13.39611,-0.034758925,-0.563616514,0.084547177,0.2274,1527.18,423.027,-14.597,4.91,0.0419,-74.73,0.799349
1AK4_48,14.81,1AK4,0,-38.26126,1.71046555,-0.289861351,0.390846223,0.2361,69.6337,92.793,-1.963,5.873,0.1521,-30.16,0.931736
1AK4_49,10.1,1AK4,1,46.50451,-0.23669672,0.414429098,0.099842489,0.2274,854.919,400.095,0.508,5.377,0.2646,-82.18,0.824792
1AK4_50,9.05,1AK4,1,-0.7289,0.64610523,-0.345584214,0.008796847,0.2274,98.0306,118.807,-5.996,2.845,0.1755,-48.93,0.634484
1AK4_51,18.29,1AK4,0,73.62578,0.651092529,-0.006682029,0.126695633,0.2602,1204.64,426.953,-4.996,3.795,-0.0679,-47.95,0.609661
1AK4_52,15.3,1AK4,0,191.0282,1.391548991,-0.443474561,0.156647414,0.2287,1203.52,457.41,14.008,1.371,-0.2543,-60.53,0.665301
1AK4_53,5.79,1AK4,1,117.03919,0.4847579,0.508615315,0.13535817,0.2274,1390.26,534.191,-4.739,1.813,0.0539,-87.49,0.4533
1AK4_54,10.66,1AK4,1,13.935700000000002,-0.137861252,-0.660234332,0.022248477,0.2402,209.533,162.482,-14.251,4.413,-0.1314,-60.38,1.119131
1AK4_55,10.39,1AK4,1,18.732100000000003,-0.129279971,-0.516728103,0.024488095,0.2297,807.387,271.651,-10.704,5.817,-0.0696,-62.4,1.003848
1AK4_56,6.36,1AK4,1,-23.23827,0.796506226,0.975219071,0.013790831,0.2318,458.72,202.877,-4.056,-0.975,-0.0574,-50.61,0.401669
1AK4_57,18.89,1AK4,0,-38.33394,0.284018636,-0.177422002,0.038335193,0.2444,594.355,195.279,-11.433,1.348,-0.0119,-52.22,0.707662
1AK4_58,17.65,1AK4,0,-28.62448,1.032314301,-0.289861351,0.106238201,0.2766,291.758,170.636,-7.055,2.31,-0.1374,-41.73,0.703011
1AK4_59,15.13,1AK4,0,55.86909000000001,1.291687727,-0.321289659,0.399240077,0.2584,627.306,293.692,8.636,0.818,-0.3749,-61.01,0.980686
1AK4_60,5.99,1AK4,1,47.18363,0.334276319,0.572770476,0.339152128,0.2274,1328.57,555.035,-2.492,3.387,-0.093,-83.71,0.500021
1AK4_61,8.94,1AK4,1,42.30198,1.137051105,0.129758388,0.010279951,0.2542,788.593,293.773,6.345,2.695,-0.0022,-40.32,0.81417
1AK4_62,15.35,1AK4,0,25.151800000000005,0.068607569,0.037519835,0.283180594,0.282,1074.72,371.28,-4.071,2.067,-0.0149,-48.46,1.030089
1AK4_63,15.32,1AK4,0,100.02131,0.861693978,-0.378738552,0.249692187,0.2355,534.752,296.176,13.243,1.705,-0.3219,-54.21,0.876698
1AK4_64,15.62,1AK4,0,26.98861,0.477149487,-0.289861351,0.242367342,0.252,368.49,231.568,-3.146,6.2,-0.1002,-37.55,0.891074
1AK4_65,14.64,1AK4,0,150.10819999999998,1.544314623,-1.261309743,0.007702728,0.2437,1128.72,376.57,20.798,-2.985,-0.1214,-65.46,0.694571
1AK4_66,13.71,1AK4,0,-45.23462,1.787447929,-0.243551314,0.008913216,0.2478,513.136,192.363,-0.619,-1.968,-0.0814,-24.26,0.933021
1AK4_67,7.64,1AK4,1,445.27036,1.208018064,0.080841884,0.150155187,0.2411,3706.2,1059.75,6.621,4.839,0.0491,-129.16,0.502266
1AK4_68,11.41,1AK4,0,-26.22605,1.364691734,-1.293078899,0.013327852,0.2274,764.355,232.062,-14.134,4.757,0.088,-65.56,0.92601
1AK4_69,19.09,1AK4,0,-9.77574,0.818519354,-0.000299848,0.040047772,0.2531,271.726,133.872,-17.045,2.098,-0.0948,-36.47,0.716631
1AK4_70,14.76,1AK4,0,27.26616,1.637312651,0.188461974,0.265806317,0.2419,962.146,240.609,-10.102,5.025,-0.0958,-65.24,0.741158
1AK4_71,8.56,1AK4,1,-35.68543,0.898692727,0.527678132,0.021429572,0.2296,216.462,128.026,-0.837,2.869,0.1481,-23.21,0.600394
1AK4_72,18.53,1AK4,0,59.41754,0.383725405,-0.138512641,0.013052667,0.2514,410.152,217.33,-9.88,3.714,-0.0292,-35.45,0.665148
1AK4_73,15.22,1AK4,0,291.77074,0.384343505,-0.318283021,0.381239802,0.2312,1801.68,623.032,16.417,2.547,-0.256,-53.54,0.847826
1AK4_74,11.59,1AK4,0,-8.29129,0.424331188,-1.287729263,0.0234177,0.2274,439.939,292.163,-11.499,3.929,-0.0017,-67.61,0.69893
1AK4_75,15.47,1AK4,0,79.02677999999999,0.780894935,-0.15085341,0.275354683,0.2529,1523.13,476.02,-0.245,5.255,-0.0007,-51.48,0.827445
1AK4_76,10.78,1AK4,1,-3.84468,-0.02186954,-0.710098743,0.010279951,0.2413,54.7674,123.388,-12.069,4.414,-0.1004,-54.98,1.202689
1AK4_77,13.85,1AK4,0,-19.48024,1.860288143,-0.267542332,0.017292079,0.4527,390.741,187.72,0.248,-0.102,0.1316,-23.79,0.943843
1AK4_78,11.03,1AK4,0,18.247979999999995,0.001143217,-0.648289919,0.06920664,0.2511,209.882,165.214,-10.313,3.383,0.0026,-47.87,0.996669
1AK4_79,9.43,1AK4,1,91.36707,-0.229748726,-0.106626675,0.010279951,0.2418,2575.01,695.013,7.95,3.055,0.1516,-75.52,0.469019
1AK4_80,15.2,1AK4,0,173.8639,0.704868495,-0.143952861,0.252875626,0.2626,1444.86,654.613,-0.058,2.362,-0.1788,-77.6,0.884876
1AK4_81,15.35,1AK4,0,140.20239999999998,1.840210676,0.031789746,0.166755474,0.2816,2231.46,589.785,-3.705,0.804,-0.4757,-74.13,1.327335
1AK4_82,10.92,1AK4,1,-2.75273,0.027621388,-0.905991197,0.051164676,0.2595,463.032,224.855,-11.333,2.708,0.05,-85.97,1.17305
1AK4_83,7.59,1AK4,1,272.60298,-1.433833122,0.201325744,0.075309604,0.2824,3499.21,893.368,-4.74,1.223,-0.165,-112.19,0.549817
1AK4_84,15.16,1AK4,0,142.98596,0.904292524,-0.451447487,0.142376554,0.2823,1183.66,519.854,2.377,0.112,-0.2905,-68.29,0.864807
1AK4_85,14.92,1AK4,0,-26.35641,1.459828138,-0.710098743,0.345360845,0.238,42.4562,69.804,-3.892,4.594,0.1703,-28.95,0.840389
1AK4_86,9.24,1AK4,1,31.605609999999995,1.075742245,0.07547757,0.009332751,0.2274,1130.84,424.774,8.563,6.073,0.313,-74.83,0.536605
1AK4_87,11.71,1AK4,0,4783966.693,-0.02042532,-0.683703899,0.031483762,0.2384,1275.42,406.467,-14.861,4.114,0.1371,-78.18,0.957526
1AK4_88,6.13,1AK4,1,147.39647,0.419324279,0.419982135,0.224080369,0.2274,1711.12,596.889,0.411,2.205,-0.0827,-108.74,0.367445
1AK4_89,9.61,1AK4,1,170.897279,-0.656271338,-0.040301844,0.00906507,0.2361,1091.58,340.535,10.24,3.442,0.4007,-60.18,0.731639
1AK4_90,6.23,1AK4,1,61.46348,0.443178058,0.874111533,0.010279951,0.2274,810.5,306.532,-6.541,0.557,-0.2647,-55.04,0.479817
1AK4_91,16.01,1AK4,0,58.569,1.752876639,-0.035104074,0.062239598,0.2274,479.543,252.776,22.088,1.875,-0.0045,-6.35,0.993731
1AK4_92,18.36,1AK4,0,49.16327999999999,0.273516774,-0.107016891,0.101636395,0.2629,651.839,256.273,-13.61,3.064,-0.0629,-45.14,0.733617
1AK4_93,8.41,1AK4,1,-4.630622,0.332529426,0.138812974,0.011862012,0.3318,2138.46,699.178,6.642,4.837,0.2286,-88.43,0.666436
1AK4_94,5.94,1AK4,1,86.97475,0.94680357,0.185327232,0.215934902,0.2274,2190.99,745.036,1.576,1.494,-0.0366,-126.49,0.499131
1AK4_95,13.94,1AK4,0,1.3179899999999964,1.247412205,-0.118023299,0.010608186,0.6122,405.082,158.366,-2.336,-1.227,-0.1003,-22.91,0.832926
1AK4_96,6.35,1AK4,1,44.52128,0.952911437,0.510119379,0.158943519,0.2274,666.294,271.569,-0.427,1.771,0.021,-57.06,0.52768
1AK4_97,18.69,1AK4,0,54.48822,0.000776887,-0.182136238,0.039133456,0.2577,423.247,157.464,-15.743,2.321,-0.1164,-46.61,0.827135
1AK4_98,9.79,1AK4,1,70.16376,1.191364288,-0.195244238,0.010252372,0.2415,1237.09,402.481,7.813,3.862,0.1437,-60.9,0.622459
1AK4_99,9.75,1AK4,1,162.85962,-1.139383674,0.064912394,0.269221246,0.2274,2522,784.219,5.884,5.292,0.1161,-83.6,0.791901
1AK4_100,7.6,1AK4,1,38.037794,-0.027006269,-0.181794614,0.010734884,0.3245,508.817,227.845,0.977,5.862,0.0283,-54.49,1.316018
1AK4_101,15.77,1AK4,0,69.77377000000001,0.407734036,-0.710098743,0.172381788,0.2274,713.019,315.199,18.347,2.526,-0.044,-16.39,0.882484
1AK4_102,15.77,1AK4,0,248.16626,1.422367811,0.028883081,0.237321272,0.2274,1618.99,618.498,27.717,1.719,-0.0282,-34.97,0.735591
1AK4_103,8.64,1AK4,1,-31.07746,0.534519553,0.432464331,0.012625343,0.2274,493.673,225.962,-10.647,3.536,-0.223,-58.25,0.799242
1AK4_104,8.61,1AK4,1,17.691159999999993,0.479207397,0.757511437,0.014759621,0.2274,231.018,118.48,-10.776,4.33,0.197,-55.43,0.994345
1AK4_105,11.01,1AK4,0,186.997,0.035966992,-0.568107724,0.050406169,0.2274,1893.04,497.258,-9.342,5.361,0.2463,-76.65,0.965951
1AK4_106,9.54,1AK4,1,0.22772,1.587127447,0.113427475,0.010279951,0.2274,536.522,216.471,-6.579,4.674,0.0857,-54.7,0.676786
1AK4_107,15.08,1AK4,0,138.15833999999998,0.457685351,0.001642626,0.303462684,0.2702,1350.78,401.28,-0.489,2.803,-0.1473,-60.4,0.997495
1AK4_108,15.41,1AK4,0,119.85273,1.43484807,-0.163056523,0.357147872,0.2274,967.825,415.453,21.088,1.902,-0.1737,-50.47,0.914776
1AK4_109,10.1,1AK4,1,52.26978000000001,-0.017865658,-0.06893044,0.190818906,0.2274,594.659,339.557,3.656,7.812,0.1288,-69.59,1.020234
1AK4_110,10.15,1AK4,1,14.14332,-0.022096038,0.361991942,0.186349899,0.2274,921.194,363.893,-4.306,7.766,0.239,-84.25,0.821825
1AK4_111,10.42,1AK4,1,39.74,-0.018216491,-0.774760127,0.010279951,0.2306,1121.52,353.359,-10.989,5.522,-0.1038,-67.88,1.089234
1AK4_112,15.16,1AK4,0,217.09601,0.112440348,0.007648281,0.31987834,0.2865,1636.46,562.94,0.294,3.208,-0.1487,-66.09,1.087797
1AK4_113,9.26,1AK4,1,122.40645999999998,0.098175287,-0.584154248,0.010279951,0.2274,417.552,245.556,-2.351,3.181,0.1607,-42.87,0.55498
1AK4_114,11.12,1AK4,0,35.587619999999994,1.912468195,0.085586146,0.013726857,0.2771,863.032,246.737,-5.306,1.582,0.0625,-41.3,0.238245
1AK4_115,6.27,1AK4,1,-4.95555,1.00931716,0.944579184,0.067724183,0.2286,269.816,164.317,-5.899,-1.499,-0.0924,-47.44,0.496192
1AK4_116,15.5,1AK4,0,76.71379999999999,1.82678926,-0.348278522,0.385916054,0.2274,648.579,304.942,12.118,1.424,-0.2026,-44.59,0.99214
1AK4_117,10.83,1AK4,1,-43.63942,0.049192548,-0.736309171,0.009191561,0.242,160.197,98.719,-11.865,3.876,0.0347,-45.45,0.994091
1AK4_118,15.3,1AK4,0,67.88048,0.727313638,-0.710098743,0.426881015,0.2294,1109.35,367.188,6.233,2.74,-0.0728,-44.92,0.95901
1AK4_119,9.95,1AK4,1,-25.695168,-0.490320444,0.449100047,0.070307195,0.2274,744.483,363.929,3.727,6.924,-0.0095,-70.68,1.092976
1AK4_120,17.34,1AK4,0,57.19833999999999,0.140492439,0.222311556,0.174072176,0.276,651.502,265.381,-4.224,3.767,-0.1239,-44.3,0.70202
1AK4_121,14.28,1AK4,0,93.62181,1.661472201,0.024863038,0.599010944,0.241,1021.6,377.429,2.796,6.095,0.081,-34.89,0.928419
1AK4_122,10.57,1AK4,1,46.42435999999999,-0.139703631,-0.810630679,0.032221343,0.247,777.724,308.677,-8.806,5.274,-0.0095,-78.88,1.098137
1AK4_123,14.98,1AK4,0,127.29357,0.014502525,-0.177638322,0.199220467,0.2795,603.76,256.444,0.407,-0.108,-0.3221,-53.37,0.937438
1AK4_124,15.36,1AK4,0,105.36114,1.084169388,-0.484307528,0.218514651,0.3001,828.426,358.572,15.879,-0.821,-0.434,-57.39,0.838925
1AK4_125,15.3,1AK4,0,-4.91973,0.019656658,0.274721026,0.262514681,0.2624,622.635,223.177,-1.485,1.171,-0.0496,-43.65,1.008155
1AK4_126,10.92,1AK4,1,-25.7597,0.324299216,-0.914040148,0.016433941,0.2274,690.738,199.949,-15.494,4.341,0.0876,-63.2,0.986693
1AK4_127,13.94,1AK4,0,104.55417,1.675226927,-0.555727005,0.136398107,0.6268,876.513,397.711,5.638,-2.132,-0.0219,-53.65,1.039496
1AK4_128,10.97,1AK4,1,80.9791,-0.077157736,-0.358308256,0.040290527,0.2274,1554.44,366.476,-15.481,5.357,0.1734,-63.67,0.769825
1AK4_129,15.02,1AK4,0,29.865535,0.943356335,-0.916238606,0.107088625,0.5863,367.469,228.305,6.282,2.607,-0.0792,-34.28,0.727113
1AK4_130,7.99,1AK4,1,27.66351,0.532771111,-0.540400684,0.010279951,0.2886,824.049,344.468,-1.945,0.339,-0.1043,-80.31,0.646743
1AK4_131,11.31,1AK4,0,41.82567,1.721382499,-0.704662204,0.008759816,0.2274,270.849,152.697,-21.449,2.785,-0.0161,-67.87,0.646233
1AK4_132,14.53,1AK4,0,4.111649999999998,-0.384000778,-0.212090254,0.417196065,0.2735,931.519,336.415,3.132,1.464,-0.162,-72.38,0.886638
1AK4_133,11.14,1AK4,0,36.9133,0.560415387,-0.664246321,0.057368558,0.2274,1329.85,337.803,-11.597,5.583,0.1148,-60,0.682439
1AK4_134,11.39,1AK4,0,-45.62179,1.295052648,-1.095465779,0.018309839,0.2274,486.424,102.115,-16.59,4.574,0.1464,-40.66,1.008589
1AK4_135,7.97,1AK4,1,2090.302044,0.676945448,0.010920929,0.190183073,0.2425,3481.19,967.616,8.434,2.371,0.2199,-121.99,0.921785
1AK4_136,15.21,1AK4,0,-35.57772,0.881218672,0.40429154,0.376124948,0.2393,100.702,118.674,-5.075,5.53,-0.1227,-27.44,0.757403
1AK4_137,6.97,1AK4,1,176.13991,0.044790745,0.162037954,0.136764944,0.2274,1061.49,369.923,2.844,2.721,0.1278,-57.39,0.687632
1AK4_138,7.64,1AK4,1,287.12604200000004,0.011306286,0.344153136,0.061472602,0.2694,2873.7,667.611,-5.543,1.798,0.0629,-86.62,0.513989
1AK4_139,15.53,1AK4,0,144.60299,0.723999381,-0.304684401,0.313006669,0.256,1518.72,554.988,18.84,0.383,-0.0351,-48,0.811352
1AK4_140,18.59,1AK4,0,147.95481999999998,0.028057337,-0.221912205,0.05548605,0.2489,773.543,276.747,-13.126,1.367,-0.0185,-54.31,0.67105
1AK4_141,15.8,1AK4,0,36.864185,1.044459105,-0.368216783,0.141613409,0.2274,568.696,322.821,15.585,1.318,-0.1732,-24.8,0.848614
1AK4_142,19.07,1AK4,0,6.786100000000001,0.018571138,-0.186155543,0.086020254,0.2546,1077.52,250.672,-12.48,2.885,-0.1167,-40.43,0.612302
1AK4_143,9.28,1AK4,1,120.55442000000002,0.011212349,0.068267696,0.010279951,0.2274,2034.79,555.842,10.089,4.664,0.3322,-70.11,0.582668
1AK4_144,11.43,1AK4,0,16.079609999999995,-0.152950764,-0.595439732,0.075026616,0.2274,1235.89,372.353,-18,4.519,-0.0148,-75.11,0.965533
1AK4_145,9.87,1AK4,1,100.8994,-1.65119946,0.438164026,0.166451976,0.2274,1543.22,551.704,3.973,5.689,0.017,-83.5,1.062038
1AK4_146,15.23,1AK4,0,226.93485,0.934222698,-0.413776428,0.393742353,0.2274,1097.7,429.2,18.414,2.629,-0.2584,-49.87,0.937897
1AK4_147,8.54,1AK4,1,23.03612,1.362246156,0.74611789,0.00808603,0.2274,533.946,207.495,-7.299,3.474,0.028,-56.98,0.86695
1AK4_148,6.5,1AK4,1,95.24631,0.179870844,-0.903529167,0.199846193,0.2395,2516.28,575.302,-9.065,-0.232,0.12,-68.73,0.867939
1AK4_149,6.21,1AK4,1,24.893550000000005,0.77813071,0.648703396,0.146495134,0.2274,494.981,200.749,-2.358,1.188,-0.0203,-46.23,0.56944
1AK4_150,16,1AK4,0,28.34536,1.07723999,0.28219226,0.13410908,0.24,329.98,178.756,-3.328,4.953,-0.0772,-34.46,0.719816
1AK4_151,7.57,1AK4,1,453.07059,1.39779973,0.014044069,0.075311214,0.2604,2797.26,878.513,3.585,2.467,0.053,-115.8,0.660987
1AK4_152,15.78,1AK4,0,67.58237,1.042418003,-0.147767588,0.204568222,0.2274,843.973,339.738,19.598,1.609,-0.1823,-21.57,0.765343
1AK4_153,18.68,1AK4,0,34.74195999999999,0.014159083,-0.045049142,0.022835013,0.2482,638.048,222.617,-9.333,3.26,-0.1198,-54.5,0.717993
1AK4_154,15.17,1AK4,0,36.97028,1.255658984,-1.027976036,0.171214521,0.6421,473.133,237.083,9.011,2.069,-0.0452,-32.22,0.578366
1AK4_155,9.91,1AK4,1,228.78528,0.166491747,0.003900252,0.04064633,0.2274,881.963,357.507,11.171,6.627,0.3481,-51.9,0.903263
1AK4_156,9.54,1AK4,1,26.57313,1.29229331,0.093437932,0.010279951,0.2274,907.973,298.879,-2.409,6.033,-0.0435,-45.71,0.553212
1AK4_157,10.25,1AK4,1,17.045920000000002,1.236916542,-0.091938801,0.010034543,0.2404,1355.78,370.396,2.493,2.037,-0.1474,-54.67,0.540411
1AK4_158,8.32,1AK4,1,5.164139999999999,1.335895181,0.338868082,0.021295682,0.2538,1732.77,429.045,5.359,3.306,0.1947,-51.22,0.493558
1AK4_159,16.79,1AK4,0,-3.39273,1.292013764,-0.710098743,0.121157229,0.2285,734.995,226.863,-4.104,6.053,-0.0188,-37.75,0.52308
1AK4_160,10.21,1AK4,1,23.6946,-0.873200476,0.481607884,0.161427706,0.2274,1158.7,348.605,-6.15,5.836,0.0644,-84.22,0.811255
1AK4_161,7.8,1AK4,1,481.26124,1.683137059,0.179897815,0.133968145,0.2707,2838.18,786.866,4.349,2.325,0.2924,-97.44,0.867433
1AK4_162,8.32,1AK4,1,95.49427,0.302631974,-0.057284441,0.044587359,0.3024,673.01,291.802,3.379,-3.582,-0.0897,-59.38,0.935618
1AK4_163,12.44,1AK4,0,-29.35908,1.291909218,0.207510576,0.05924486,0.3636,-29.7482,96.584,-2.462,2.377,-0.0262,-39.36,0.684791
1AK4_164,8.02,1AK4,1,34.63953,1.5738132,0.069491908,0.009491381,0.3825,532.9,185.267,-3.305,0.547,0.0399,-52.87,1.003611
1AK4_165,15.87,1AK4,0,5.398160000000001,1.517644644,-0.247092903,0.163911283,0.2295,459.847,238.967,12.033,1.753,-0.1427,-24.87,0.970459
1AK4_166,11.62,1AK4,0,57.02753,0.498268008,-0.493210524,0.046751615,0.2274,865.859,326.701,-11.292,4.88,-0.1154,-60.75,0.888478
1AK4_167,18.38,1AK4,0,-12.43285,1.574237227,-0.101416819,0.044148542,0.2304,936.526,266.946,9.664,4.287,-0.0955,-35.06,0.185712
1AK4_168,15.3,1AK4,0,100.80517,0.409135461,-0.275670677,0.359179437,0.242,2060.39,746.698,9.265,1.14,-0.0086,-102.95,0.832591
1AK4_169,8.94,1AK4,1,28.36767,1.690828919,0.092589699,0.012092842,0.2647,1612.63,382.796,4.392,3.675,-0.0118,-39.16,0.535854
1AK4_170,11.31,1AK4,0,-43.62345,0.086371541,-1.311292291,0.015141008,0.2274,904.146,161.538,-17.366,3.899,0.1156,-47.17,0.951226
1AK4_171,10.97,1AK4,1,79.42929000000001,-0.014503479,-0.683000445,0.195798531,0.2505,606.283,263.087,-9.367,1.561,0.0579,-78.51,1.088724
