PDB,label,PID,HADDOCK,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,PIsToN,GNN-DOVE,DeepRank-GNN,dMaSIF
1ATN-model-8-neg,0,1ATN,18661.82282,495.954,79.654,-8.722,-4.606,-0.1446,-38.18,0.504565,1.156525135,0.2415,0.007296811,-0.420597434
1ATN-pos,1,1ATN,-158.807,-249.103,-10.971,-32.587,6.319,-0.5172,-97.79,1.753238,-1.868135929,0.4436,0.009863572,1.871823311
1AVX-model-11-pos,1,1AVX,-102.6073,-40.3755,0.137,14.904,-1.062,0.0183,16.82,0.584054,-1.130743265,0.2274,0.010279951,1.873878002
1AVX-model-78-neg,0,1AVX,-62.4181,-30.7431,39.605,-19.146,6.271,-0.2509,-23.44,0.912076,1.882540226,0.2711,0.007915941,-0.229190245
1B27-model-25-pos,1,1B27,299.1727,-31.0015,5.758,18.191,-3.718,0.007,28.89,0.427174,-1.132308722,0.2583,0.010279951,0.582946002
1B27-model-43-neg,0,1B27,3222.42918,-19.5536,33.848,-33.205,6.589,-0.06,-24.99,0.821704,1.942101836,0.2801,0.006397001,-0.897347271
1B3S-model-1-pos,1,1B3S,-135.77029,-3.37133,12.276,-7.485,-0.803,-0.1026,16.27,0.385433,-1.364906311,0.3814,0.009849865,0.162686288
1B3S-model-69-neg,0,1B3S,-46.19764,-213.798,-6.489,-35.268,3.76,-0.3498,-23.11,1.046559,1.928826928,0.3478,0.00502152,-1.577423573
1B3T-model-1-pos,1,1B3T,-364.5285,-147.648,-3.462,-18.657,2.962,-0.2417,-8.07,0.809453,-1.905971885,0.3084,0.279086858,1.829945683
1B3T-model-18-neg,0,1B3T,-66.29093,-724.103,-26.959,-78.084,21.491,-0.994,-215.61,4.071817,0.931820691,0.2401,0.003471332,-1.907913685
1BJR-model-29-neg,0,1BJR,-34.59698,-54.8015,-2.702,-12.142,-1.15,-0.0946,-15.15,0.720833,0.74559027,0.2338,0.006920092,1.178261518
1BJR-model-77-pos,1,1BJR,-25.28368,-42.0313,-1.684,-3.918,-0.928,-0.144,5.26,0.400186,0.91040957,0.2468,0.006415225,1.170591831
1BO4-model-1-pos,1,1BO4,-258.482,-159.959,-0.105,-36.719,14.051,-0.2276,-16.24,1.171564,-1.909593225,0.3765,0.236937344,2.305389881
1BO4-model-93-neg,0,1BO4,-66.51982,-658.108,-17.703,-89.338,29.057,-0.6602,-141.83,3.082071,1.496255875,0.2274,0.007400126,-0.20869109
1BPO-model-1-pos,1,1BPO,-139.57347,25.6213,26.799,-10.13,-5.893,0.0344,0.1,0.537709,-1.765740514,0.4843,0.003345864,1.245830894
1BPO-model-19-neg,0,1BPO,-89.41824,-274.313,-7.681,-50.028,7.11,-0.3851,-67.52,1.548263,1.869293928,0.3801,0.00369455,-0.635114789
1BRS-model-1-pos,1,1BRS,-170.32144,-28.3175,0.579,16.984,-4.275,-0.0215,15.76,-0.088154,-1.855650663,0.4564,0.010279951,0.705945492
1BRS-model-68-neg,0,1BRS,-2.47123,-233.352,-9.825,-46.528,5.791,-0.391,-43.04,1.206497,1.960243344,0.2874,0.005559152,-0.583037615
1C3X-model-1-pos,1,1C3X,-130.9044,-22.9585,8.88,1.816,-3.891,0.1198,18.57,-0.009452,0.02227509,0.2274,0.007781276,1.646531701
1C3X-model-97-neg,0,1C3X,-53.45194,-199.893,-8.453,-32.657,11.861,-0.2799,-66.45,1.227911,1.92776978,0.2306,0.005636193,-1.520232916
1C9P-model-1-pos,1,1C9P,-101.56173,-90.8216,2.082,-3.077,-1.335,-0.1846,-15.28,0.451677,-1.01589644,0.3357,0.008170901,0.785881877
1C9P-model-82-neg,0,1C9P,-27.66804,-147.098,-3.374,-18.787,1.537,-0.5516,-49.54,1.206965,1.155723929,0.345,0.03223668,-0.277523667
1C9S-model-1-pos,1,1C9S,-222.7819,-49.6797,5.295,-17.178,1.811,-0.2473,-32.61,0.905823,-1.851379752,0.6316,0.041525509,1.700162411
1C9S-model-22-neg,0,1C9S,-99.36738,-274.451,-12.192,-39.924,6.946,-0.7014,-97.97,1.966278,0.047783732,0.2978,0.014483802,-0.259189904
1C9T-model-59-neg,0,1C9T,-31.53547,145.253,27.447,-7.281,-2.572,-0.1873,2.86,0.417683,1.113041878,0.3051,0.107014872,-0.89719224
1C9T-model-89-pos,1,1C9T,-36.049045,-62.5356,1.962,-2.757,1.682,-0.1614,2.08,0.46485,1.841898918,0.287,0.003617965,1.070398569
1CGI-model-16-neg,0,1CGI,-62.894171,-63.8657,-1.299,-5.351,0.902,-0.1028,11.44,0.647587,1.952605844,0.3323,0.006389568,-0.440936953
1CGI-model-7-pos,1,1CGI,-90.490272,-192.5,16.92,-33.23,8.84,-0.2841,-39.62,1.047596,-0.906033337,0.3676,0.009453562,2.315176249
1CQ3-model-1-pos,1,1CQ3,-187.06475,-58.3505,4.644,20.835,-5.428,0.003,11.12,0.554063,-0.763146222,0.2976,0.006489612,1.43774116
1CQ3-model-32-neg,0,1CQ3,-57.7773,-206.539,-10.012,5.284,-2.079,-0.5622,-105.37,1.334608,1.931864858,0.2411,0.004624338,-0.966230989
1DB2-model-2-pos,1,1DB2,-66.04446,169.102,56.445,-28.92,1.376,-0.0301,-24.36,0.563707,-0.418532252,0.2628,0.005344045,0.03574235
1DB2-model-73-neg,0,1DB2,1146.66549,-150.415,-6.563,-8.376,-6.333,-0.4464,-52.78,1.460231,-0.246114373,0.2274,0.005669475,-0.978114665
1DEV-model-1-pos,1,1DEV,-178.9571,-64.2393,0.415,-10.91,5.084,-0.0674,-17.4,0.428288,-1.830054164,0.3607,0.008598571,1.185903907
1DEV-model-99-neg,0,1DEV,-45.233,-454.273,-16.219,-52.366,20.245,-0.7049,-174.11,2.571204,1.486558676,0.3205,0.004896901,-0.506979346
1DFJ-model-1-pos,1,1DFJ,-164.5127,33.7524,9.411,17.772,-5.686,-0.0111,57.09,0.57013,-1.700669289,0.2596,0.00608765,1.40965116
1DFJ-model-29-neg,0,1DFJ,-31.39372,-358.142,0.853,-61.24,1.247,-0.5673,-48.28,2.094972,1.950615883,0.2274,0.005125566,-0.531496227
1DJS-model-1-pos,1,1DJS,-234.26839,-18.4289,-0.053,6.503,-5.346,0.0749,27.12,0.530385,-1.50306797,0.6125,0.010279951,0.571981132
1DJS-model-75-neg,0,1DJS,-47.7044,-330.239,-3.643,-26.688,4.2,-0.5166,-88.4,1.85706,1.95563817,0.2274,0.009096627,-1.162693739
1DLE-model-1-pos,1,1DLE,-284.69945,-55.5087,8.321,31.924,-10.968,0.1392,66.31,0.375707,-1.027406216,0.6088,0.382909447,1.026437879
1DLE-model-17-neg,0,1DLE,-81.916,-324.845,-10.235,-27.842,-0.426,-0.5481,-50.15,1.497769,1.499183178,0.3147,0.010279951,-0.668077409
1DML-model-40-neg,0,1DML,-53.8403,-17.6796,8.475,9.428,1.204,-0.1041,-1.15,0.476546,1.941113114,0.3064,0.010279951,-1.04009378
1DML-model-99-pos,1,1DML,-41.238398,-52.5329,-2.7,-15.843,4.076,-0.0795,-13.5,0.695257,1.794927716,0.3245,0.006728339,-0.546262264
1DN2-model-42-pos,1,1DN2,-53.15638,-19.4873,-0.934,-17.936,3.516,-0.046,-13.22,0.580365,1.147266746,0.3371,0.047331031,0.270364136
1DN2-model-55-neg,0,1DN2,15.066269999999998,-22.5935,-2.761,-17.856,4.614,-0.0179,-11.82,0.297746,1.1988796,0.3348,0.008249045,-0.810501933
1E5Q-model-1-pos,1,1E5Q,-140.3701,67.7161,17.17,3.116,0.391,-0.0571,41.53,0.205522,-1.648289561,0.2274,0.004731068,1.783907533
1E5Q-model-96-neg,0,1E5Q,53.00164,-320.316,-9.272,-37.733,12.079,-0.3896,-58.15,0.90463,1.922652006,0.2274,0.006327327,-0.071211658
1E8N-model-11-pos,1,1E8N,-55.13178,-108.846,-0.899,-27.51,6.133,-0.1168,-17.51,0.712717,0.211519241,0.253,0.005682667,0.903133869
1E8N-model-58-neg,0,1E8N,-45.51246,-99.4718,-1.595,-28.069,6.502,-0.2019,2.01,0.442389,0.249174237,0.2806,0.00750389,0.609674037
1EAI-model-51-pos,1,1EAI,-66.40059,-85.7635,3.088,-2.54,-1.538,-0.1351,7.01,0.541686,0.945598245,0.2687,0.016829573,1.7542274
1EAI-model-76-neg,0,1EAI,-60.8087,-108.793,7.984,-16.872,0.463,0.0007,-18.26,0.324226,1.871261597,0.3854,0.032938477,-0.111460082
1EJA-model-2-pos,1,1EJA,-104.8818,-27.7621,1.001,-7.649,-8.791,-0.1353,2.28,-0.060955,-1.525689363,0.4343,0.008745877,1.341511369
1EJA-model-65-neg,0,1EJA,-44.9213,-174.49,-1.351,-21.31,4.038,-0.3497,-36.18,1.098962,1.883361101,0.3444,0.004890556,-0.467076421
1EM8-model-17-pos,1,1EM8,-55.151165,1541.56,17.082,1.972,0.339,-0.1098,-18.22,0.696744,-1.141020298,0.2833,0.116393767,1.86740768
1EM8-model-4-neg,0,1EM8,5120536.188,-205.403,7.285,-43.727,7.822,-0.3095,-29.8,0.938835,1.506652236,0.3564,0.009337637,0.075974949
1EPT-model-1-pos,1,1EPT,-273.072,-94.448,9.794,-34.114,19.938,-0.2617,-25.32,0.852555,-1.9181813,0.2017,0.546690285,0.873532832
1EPT-model-2-neg,0,1EPT,-81.79126,-451.477,-26.413,-63.179,35.985,-1.0463,-239.73,3.636039,1.188188076,0.1799,0.005608081,-1.501839876
1ERN-model-16-neg,0,1ERN,-67.88784,31.2744,11.662,-14.922,-3.131,-0.0805,-9.91,0.565843,1.263980746,0.2395,0.004633971,-0.260314137
1ERN-model-18-pos,1,1ERN,-113.587,-179.671,-4.995,-23.601,4.245,-0.2815,-26.43,1.244801,-0.744730115,0.2495,0.032486502,0.90956825
1EZI-model-2-pos,1,1EZI,-190.9959,-19.8552,-2.227,-8.345,4.939,-0.0797,11.58,0.347152,-1.685210943,0.2274,0.009934104,1.262036443
1EZI-model-88-neg,0,1EZI,-41.80258,-20.5814,62.248,-46.068,13.43,-0.2784,-71.63,1.869918,1.663061023,0.2274,0.006329785,0.378156722
1F2U-model-2-pos,1,1F2U,-60.61633,-77.7099,-0.385,4.032,0.111,-0.1477,-7.48,0.793309,-1.707228899,0.2666,0.160542578,1.570846319
1F2U-model-59-neg,0,1F2U,-10.34394,103.841,116.283,-33.737,7.375,-0.6254,-198.46,2.95839,1.096376181,0.2274,0.008625284,-2.369087696
1F37-model-2-pos,1,1F37,-109.04124,-82.6044,1.4,-14.91,8.014,-0.0331,2.89,0.164807,0.022117019,0.2818,0.04406115,1.03884697
1F37-model-67-neg,0,1F37,-57.35596,59.1271,33.58,-43.557,12.741,-0.243,-46.22,1.369508,1.593258858,0.1296,0.007465512,-3.223652124
1F45-model-1-pos,1,1F45,-144.22655,144.097,31.844,-9.188,2.484,-0.0834,6.49,0.529605,-1.522354484,0.3685,0.009601275,0.719595134
1F45-model-62-neg,0,1F45,-53.77289,-303.321,-5.715,-33.922,8.284,-0.6023,-56.17,1.753755,1.940151691,0.2274,0.00439255,-3.519772053
1F5R-model-1-pos,1,1F5R,-113.29127,-40.2089,-0.55,-11.091,-0.97,0.0338,16.61,0.095499,-1.794095993,0.5674,0.005718098,0.719156623
1F5R-model-77-neg,0,1F5R,-61.7222,-132.271,-8.479,-7.677,7.336,-0.4619,-31.29,1.16968,1.951429486,0.2274,0.006072348,-0.251615286
1F7Z-model-20-pos,1,1F7Z,-40.39667,-83.6101,-1.958,-15.012,3.801,-0.1897,-18.3,0.635781,1.498322964,0.3016,0.010279951,1.29659605
1F7Z-model-36-neg,0,1F7Z,-66.36195,-4.80746,28.576,0.197,3.052,-0.0654,-5.04,0.422616,0.830150723,0.2347,0.00582677,0.905659616
1F9S-model-34-neg,0,1F9S,-49.8292,-9.11474,-1.534,2.071,-3.779,0.0202,-6.54,0.375762,1.922834277,0.2981,0.02468206,-1.395107627
1F9S-model-7-pos,1,1F9S,-101.982,-155.341,-6.491,-10.508,0.415,-0.2233,-56.98,0.777032,-0.10772419,0.5189,0.013751047,0.856256783
1FGL-model-47-pos,1,1FGL,-25.01022,-22.6849,-1.319,1.9,1.644,-0.0497,21.44,0.261828,0.931930304,0.3284,0.010279951,2.070833921
1FGL-model-65-neg,0,1FGL,-15.07332,-16.8797,19.724,3.043,2.107,-0.0648,-15.94,0.557665,1.860293627,0.2756,0.006941319,-0.556598842
1FIW-model-18-neg,0,1FIW,-51.08178,-95.0036,2.43,-10.727,2.056,-0.0969,-8.39,0.535829,0.91062963,0.3357,0.095121324,1.325379848
1FIW-model-75-pos,1,1FIW,-46.02335,-8.08333,22.415,-7.622,0.872,-0.1239,-29.49,0.720082,1.897546649,0.4043,0.032959986,0.060928036
1FU5-model-1-pos,1,1FU5,-127.24729,-93.0694,-2.715,-21.109,6.676,-0.1337,-7.8,0.581222,-1.732434869,0.5442,0.010279951,0.84561336
1FU5-model-48-neg,0,1FU5,-81.3432,-229.109,-4.421,-45.796,8.566,-0.0413,-85.6,1.401022,1.485088587,0.3277,0.006043622,-0.347565085
1FY8-model-1-pos,1,1FY8,-142.64913,-24.5978,3.603,21.065,-0.941,0.0389,21.33,0.253115,-1.766077518,0.5434,0.010019771,0.791139424
1FY8-model-10-neg,0,1FY8,-47.9189,-122.768,-8.62,-2.684,6.462,-0.5462,-34.88,1.206463,1.940897584,0.3269,0.024908826,-1.468762994
1G31-model-15-pos,1,1G31,-40.69191,402.455,13.38,4.533,-8.483,0.2708,-6.31,-0.182858,0.164807081,0.2739,0.004702507,0.712525904
1G31-model-23-neg,0,1G31,-41.70114,-86.1728,12.261,-21.664,4.874,-0.2114,-18.87,0.977675,1.933470488,0.3372,0.00705492,-1.602939606
1G60-model-1-pos,1,1G60,-357.5251,-22.1925,16.641,-10.177,3.946,-0.0597,40.17,0.635522,-1.892633557,0.3006,0.053661391,2.592956543
1G60-model-23-neg,0,1G60,-58.70005,-695.982,-23.217,-113.158,33.247,-0.7103,-91.13,3.444638,1.945543408,0.2274,0.007464929,-1.730504632
1G9I-model-26-pos,1,1G9I,-26.02993,-3.00335,23.401,-7.579,-7.888,-0.0868,-11.95,0.131892,-0.139924526,0.5333,0.004577754,1.215616465
1G9I-model-27-neg,0,1G9I,-7.826895748,50.2964,32.071,-10.408,-3.674,-0.0442,-51.72,0.495464,1.28432405,0.3461,0.005164572,-0.130661532
1GCQ-model-26-neg,0,1GCQ,-54.38424,-121.876,-0.515,-24.044,8.811,-0.1531,-9.18,0.706989,1.12346518,0.2508,0.010279951,-0.226480335
1GCQ-model-58-pos,1,1GCQ,-24.31126,-16.7238,2.55,-11.037,9.223,-0.1032,1.52,0.369104,0.856024325,0.2588,0.00236615,0.474791139
1GL0-model-15-pos,1,1GL0,-53.919306,-42.8815,4.675,-8.076,-4.379,-0.0804,-13.03,0.17882,1.257339716,0.291,0.006488679,1.977429748
1GL0-model-99-neg,0,1GL0,-38.37072,-96.6054,-3.107,-17.267,4.198,-0.1576,-18.83,0.444063,1.201296806,0.2536,0.004359382,-0.158201769
1GO4-model-1-pos,1,1GO4,-179.6104,-28.0639,16.195,-5.281,-3.168,-0.0694,-8.78,0.637642,-1.837871671,0.2274,0.010279951,1.551020861
1GO4-model-6-neg,0,1GO4,-20.1871,-372.39,-6.616,-52.286,4.79,-0.5823,-116.56,2.198039,1.884127259,0.243,0.005442263,-0.067446366
1GT7-model-43-pos,1,1GT7,-113.2388,-82.2898,-1.665,-9.234,4.304,-0.0138,5.04,0.458207,1.362675905,0.2274,0.006341011,1.477905273
1GT7-model-70-neg,0,1GT7,590.888662,-209.426,-1.888,-31.157,6.563,-0.3287,-25.92,1.152531,1.946325183,0.2843,0.006003439,-2.002692938
1GXD-model-1-pos,1,1GXD,-155.1117,-66.7183,24.488,5.785,-2.528,0.084,24.86,0.540857,-0.058075309,0.2274,0.009641513,-0.243688092
1GXD-model-56-neg,0,1GXD,-64.4296,-441.818,23.146,-45.412,16.873,-0.4501,-86.95,2.068535,1.922102809,0.307,0.00388603,-1.259039044
1H1V-model-1-pos,1,1H1V,-125.2989,-43.6699,6.397,7.969,-1.732,-0.1056,-4.28,0.63659,0.11182189,0.2531,0.004001171,-0.216794953
1H1V-model-72-neg,0,1H1V,-76.39965,-130.909,-5.842,-6.91,-1.621,-0.242,-27.08,1.443037,1.941002369,0.2274,0.004121478,-0.015580616
1HAA-model-65-neg,0,1HAA,-33.34489,-74.9088,-0.585,-1.193,3.599,-0.0857,1.74,0.416937,1.747785568,0.3266,0.007674319,-0.43319726
1HAA-model-7-pos,1,1HAA,-50.16641,-96.1569,-3.101,-19.165,6.105,-0.0865,-16.63,0.559678,1.108480453,0.3624,0.022238281,0.208977729
1HBT-model-1-pos,1,1HBT,-104.9183,-86.1427,-0.671,-6.542,-2.105,-0.0761,-2.94,0.248924,-1.736319423,0.2459,0.008562605,1.720674276
1HBT-model-14-neg,0,1HBT,-41.00739,-228.279,-6.218,-40.164,6.275,-0.2923,-35.44,1.310953,0.692745149,0.2393,0.010279951,-0.798047662
1HPU-model-19-neg,0,1HPU,-82.47317,243.594,37.555,1.122,-1.699,0.0845,-4.97,0.34272,1.948729038,0.2274,0.003467983,-0.380442441
1HPU-model-2-pos,1,1HPU,-120.76122,-131.433,-0.903,-8.163,-5.903,-0.0759,8.28,1.138218,1.825116515,0.2562,0.00409517,0.211547434
1HX5-model-68-pos,1,1HX5,-33.78,-47.8844,6.632,-6.238,-1.02,0.0709,11.56,0.602246,1.755498886,0.2787,0.001979295,1.206276655
1HX5-model-95-neg,0,1HX5,-28.8181,54.4803,-1.912,-10.98,-0.468,-0.1298,-26.37,0.548794,1.957072139,0.2477,0.008751043,0.009128066
1HYR-model-2-pos,1,1HYR,-81.3384,131.963,33.45,-4.977,-1.63,-0.1734,16.7,0.859275,-1.023373365,0.2732,0.006281398,-0.512838662
1HYR-model-9-neg,0,1HYR,-83.26562,-211.015,16.541,-13.031,2.214,-0.2868,-32.64,1.035513,1.942343712,0.1633,0.005858385,-0.911017358
1I07-model-1-pos,1,1I07,-343.2181,-77.5869,-0.626,-4.944,3.176,-0.0248,6.42,0.254369,-1.907417417,0.1452,0.132257506,1.200930715
1I07-model-76-neg,0,1I07,-31.1382478,-741.985,-31.301,-86.43,32.669,-1.4525,-276.8,4.477483,1.5866853,0.1316,0.008688854,-0.966631234
1I4E-model-36-neg,0,1I4E,-99.3651,191.104,38.46,-7.449,-1.599,-0.1624,-6.24,0.786783,1.946294665,0.3535,0.005339231,-1.465206504
1I4E-pos,1,1I4E,-229.0045,-205.247,8.907,-46.225,3.561,-0.3834,-41.3,1.516648,-1.816138506,0.2573,0.010279951,0.954093158
1I4O-model-3-pos,1,1I4O,-71.20618,27.6447,24.146,1.432,1.672,-0.0848,-4.74,0.473854,0.901447177,0.4095,0.008739283,-0.113663375
1I4O-model-81-neg,0,1I4O,-38.4471,1016.87,20.298,-12.561,4.472,-0.1069,-36.33,0.48884,1.794964075,0.3113,0.007524367,-1.472709894
1ICF-model-36-neg,0,1ICF,3.96712,-0.53961,11.683,-4.98,-1.851,0.0593,15.54,0.354565,1.948039412,0.2866,0.006012892,-0.417869449
1ICF-model-51-pos,1,1ICF,-65.031369,-86.2632,10.626,-17.854,6.434,-0.1387,-36.67,0.536764,0.569879413,0.333,0.004799562,0.697987139
1IGU-model-1-pos,1,1IGU,-154.0639921,53.5274,-2.172,13.667,-3.645,-0.0426,-9.65,-0.076919,-1.571569443,0.5153,0.031911489,2.309548616
1IGU-model-28-neg,0,1IGU,-35.90246,-294.204,-13.023,-16.645,12.67,-0.5689,-168.17,2.600269,1.946252704,0.2931,0.008953501,-0.270929396
1IJX-model-1-pos,1,1IJX,-176.4977,20.0397,4.385,-13.897,0.168,-0.0927,-9.3,0.30094,-1.868950009,0.3002,0.062408574,2.034279108
1IJX-model-9-neg,0,1IJX,-97.067447,-228.465,-11.978,-37.614,-3.722,-0.5782,-92.56,1.875037,1.875865459,0.3164,0.007415898,-1.627438426
1INN-model-11-pos,1,1INN,-75.7563,33.2031,14.757,-4.874,-5.194,0.0384,16.59,0.208953,1.021884203,0.2572,0.007835039,1.551009893
1INN-model-17-neg,0,1INN,-56.70291,-98.3445,4.209,-25.559,-1.503,-0.2198,-30.2,1.125345,1.948115826,0.2809,0.005946718,-1.188578963
1IYJ-model-1-pos,1,1IYJ,-88.2283,30.9862,14.759,-33.593,3.883,-0.0655,5.94,0.376929,-1.831907034,0.1674,0.023511609,2.049138784
1IYJ-model-22-neg,0,1IYJ,-66.05927,-1137.04,-17.563,-210.042,36.034,-1.3814,-291.09,4.74949,1.869747162,0.2274,0.004729765,0.458527505
1J3R-model-1-pos,1,1J3R,-322.1079,-68.5102,2.406,19,-1.544,0.0074,57.87,0.304019,-1.906526089,0.6091,0.027501613,2.386787176
1J3R-model-89-neg,0,1J3R,-46.6272,-889.099,-26.453,-110.881,40.201,-1.2531,-249.34,4.689548,1.945031404,0.3255,0.007070598,-1.514227748
1J4U-model-41-neg,0,1J4U,-54.511802,-56.7239,-0.192,-7.546,-1.415,0.0072,1.4,0.680379,1.76465261,0.3315,0.01324892,-0.550875366
1J4U-model-96-pos,1,1J4U,-61.71631,-61.0803,11.047,-15.442,4.971,-0.1569,-42.09,1.0914,0.470922947,0.2659,0.010279951,1.202043295
1JFM-model-20-neg,0,1JFM,-25.26132,14.386,13.207,17.562,-2.782,0.1313,33.14,0.590438,1.938628316,0.2274,0.005306289,0.353293806
1JFM-pos,1,1JFM,-109.777,-73.8576,-1.672,-6.357,-4.227,-0.0515,12.66,0.05492,1.86871767,0.2274,0.005921049,-0.249350429
1JIW-model-1-pos,1,1JIW,-156.207488,-72.6768,-1.518,-4.496,-1.951,-0.1838,-25.79,0.662194,-1.818555117,0.4479,0.009356391,0.555343568
1JIW-model-17-neg,0,1JIW,-41.06139,-226.111,-9.499,-29.367,-1.848,-0.4525,-70.8,1.517248,1.317865133,0.2274,0.003602824,0.086252399
1JK9-model-1-pos,1,1JK9,-151.13302,-41.1982,3.581,-10.262,-5.428,-0.0865,1.59,0.571139,-1.094474792,0.3835,0.010279951,1.289256692
1JK9-model-77-neg,0,1JK9,-70.94928,-208.784,-6.123,-21.913,-2.595,-0.408,-48.23,1.20693,1.954380751,0.238,0.007039383,-0.458289534
1JKG-model-20-neg,0,1JKG,-44.04961,39.8968,65.777,-19.24,3.696,-0.239,-11.34,0.914519,1.785588384,0.2366,0.049429655,0.133121148
1JKG-model-41-pos,1,1JKG,-65.65491,-44.008,9.689,-27.884,4.706,-0.3063,-11.19,0.866195,1.627936959,0.2615,0.006508415,0.973152757
1JNP-model-54-neg,0,1JNP,74.05722,255.927,69.113,-11.35,4.936,-0.0935,-12.26,0.468665,1.79822135,0.3237,0.006241878,-1.140041351
1JNP-pos,1,1JNP,-96.541,-165.11,-3.627,-20.611,10.95,-0.2233,-23.21,0.635174,0.838103294,0.2302,0.009486356,-0.242081225
1JTD-model-1-pos,1,1JTD,-195.2857,265.707,34.907,-6.181,-0.02,-0.0005,1.59,0.128357,-1.339547992,0.2274,0.006888401,1.207480431
1JTD-model-88-neg,0,1JTD,-60.80988,-396.841,-8.363,-49.109,12.226,-0.3969,-47.93,1.826684,1.960889935,0.2274,0.003977248,-0.19163844
1JXQ-model-2-pos,1,1JXQ,-14.4179,78.7916,41.836,-17.111,4.366,-0.0526,-17.68,0.764623,-1.864542723,0.2421,0.165734082,0.981225312
1JXQ-model-75-neg,0,1JXQ,-37.82638,-245.946,10.408,-52.063,24.687,-0.3777,-44.54,1.118613,1.601000667,0.3055,0.037536852,-1.082693577
1JYI-model-41-neg,0,1JYI,-19.03392,-44.8104,-0.843,-11.927,5.32,-0.0231,2.42,0.549606,1.308404922,0.363,0.012572751,0.30265972
1JYI-model-85-pos,1,1JYI,-44.88702,13.6252,3.15,-6.75,6.534,-0.0361,0.17,0.424979,1.098808289,0.3306,0.007153499,-1.366845965
1JZO-model-50-pos,1,1JZO,-89.1311,-61.1746,1.781,1.238,-5.559,0.0345,11.31,0.50623,0.096714497,0.254,0.005903347,1.381589413
1JZO-model-60-neg,0,1JZO,-76.2834,-107.184,-3.512,-22.233,5.573,-0.1676,-41.69,1.232439,1.946139693,0.2947,0.005828736,-1.064680457
1K88-model-4-pos,1,1K88,-89.67974,-151.591,2.284,-11.264,-1.887,-0.0612,-9.65,0.698612,0.779228747,0.2354,0.007306053,1.194142818
1K88-model-83-neg,0,1K88,-84.75797,19.0614,19.7,-21.411,0.248,-0.1012,-10.4,1.118509,1.732386112,0.2585,0.005602229,-2.210583448
1KAC-model-1-pos,1,1KAC,-99.00958,-47.9623,1.995,-0.53,-4.03,-0.1304,-6.53,0.622463,-1.551716924,0.2439,0.007183697,-0.267722338
1KAC-model-8-neg,0,1KAC,-55.04689,-180.486,-3.897,-14.065,-1.269,-0.2216,-30.21,1.109935,1.825924754,0.3097,0.00990547,-1.256248832
1KL8-model-24-pos,1,1KL8,-57.06354,-39.1261,4.487,-3.919,-2.252,-0.0831,-6.39,0.441935,1.010771513,0.3667,0.020337224,0.246064514
